feedback_id,model_name,user_name,prompt_text,response_text,rating,tags
F001,gpt-4,이정열,너 오늘 기분 어때?,나는 기분이 좋지 않아.,3.5,"['감성', '비판적']"
F002,mistral-7b,김민정,"안녕, 오늘 날씨 어때?",오늘은 맑고 따뜻할 거야.,4.2,"['날씨', '정보']"
F003,gpt-4,나비,코딩하는 법 알려줘,파이썬으로는 print부터 시작해봐.,4.7,"['코딩', '학습', '친절함']"
F004,gpt-4,지용,AI의 미래는?,자기소개서를 준비해봐.,3,"['미래', '감성', '재정', '여행']"
F005,mistral-7b,김민정,자기계발 하려면?,강남에 맛집이 있어.,3,"['일상', 'AI', '가이드', '날씨']"
F006,llama-3,박철수,오늘 기분은 어때?,파이썬은 print로 시작해봐.,3,"['공부', '코딩', '추천']"
F007,gemini-1.5,홍길동,운동은 어떻게 시작해?,최근 인기 영화는 OOO야.,3.1,"['학습', '준비', '맛집']"
F008,gpt-4,최수진,파이썬 시작하려면?,제주도를 추천해.,3.1,"['조언', '시간관리', '준비']"
F009,mistral-7b,강민호,스트레스 해소법은?,운동은 하루 30분씩 해.,3.1,"['일상', '공부', '미래', '취업']"
F010,llama-3,정유진,효과적인 공부법?,적금부터 시작해.,3.1,"['해소', '추천', '여행']"
F011,gemini-1.5,이민호,AI의 미래는?,제주도를 추천해.,3.1,"['학습', '설명', '날씨']"
F012,gpt-4,한지민,날씨가 궁금해.,긍정적으로 생각해.,3.2,"['요약', '추천', '가이드', '추천']"
F013,mistral-7b,오세훈,재테크 어떻게 시작해?,오늘은 기분이 좋아.,3.2,"['스트레스', '추천', '설명']"
F014,llama-3,배수진,오늘 기분은 어때?,AI는 다양한 산업에 쓰일 거야.,3.2,"['정보', '코딩', '가이드']"
F015,gemini-1.5,서지훈,스트레스 해소법은?,자기소개서를 준비해봐.,3.2,"['준비', '뉴스', '맛집', '요리']"
F016,gpt-4,장예진,운동은 어떻게 시작해?,파스타를 만들어봐.,3.2,"['감성', '조언', '코딩']"
F017,mistral-7b,문성훈,취업 준비 어떻게?,운동으로 스트레스를 풀어.,3.3,"['공부', '일상', '정보', '준비']"
F018,llama-3,유지현,자기계발 하려면?,자기소개서를 준비해봐.,3.3,"['레시피', '해소', '스트레스']"
F019,gemini-1.5,이정열,자기계발 하려면?,AI는 다양한 산업에 쓰일 거야.,3.3,"['정보', '건강', '코딩', '인생']"
F020,gpt-4,김민정,효과적인 공부법?,긍정적으로 생각해.,3.3,"['요리', '독서', '영화', '인생']"
F021,mistral-7b,박철수,효과적인 공부법?,적금부터 시작해.,3.3,"['취업', '요리', '날씨', '코딩']"
F022,llama-3,홍길동,AI의 미래는?,맑고 화창해.,3.4,"['자기계발', '요약', '공부', '효율']"
F023,gemini-1.5,최수진,자기계발 하려면?,계획을 세우는 게 좋아.,3.4,"['효율', '취업', '감성', '요약']"
F024,gpt-4,강민호,효율적인 시간 관리법은?,운동은 하루 30분씩 해.,3.4,"['정보', '일상', '뉴스']"
F025,mistral-7b,정유진,취업 준비 어떻게?,계획을 세우는 게 좋아.,3.4,"['영화', '해소', '독서']"
F026,llama-3,이민호,날씨가 궁금해.,맑고 화창해.,3.4,"['인생', '추천', '영화', '맛집']"
F027,gemini-1.5,한지민,추천할 영화 있어?,파스타를 만들어봐.,3.5,"['날씨', '조언', '정보', '기술']"
F028,gpt-4,오세훈,AI란 무엇일까?,할 일을 정리해보자.,3.5,"['미래', '인생', '코딩']"
F029,mistral-7b,배수진,스트레스 해소법은?,적금부터 시작해.,3.5,"['건강', '추천', '시간관리', '맛집']"
F030,llama-3,서지훈,AI란 무엇일까?,긍정적으로 생각해.,3.5,"['준비', '코딩', '학습', '일상']"
F031,gemini-1.5,장예진,날씨가 궁금해.,파이썬은 print로 시작해봐.,3.5,"['요약', '건강', '인생', '준비']"
F032,gpt-4,문성훈,쉬운 요리 알려줘.,적금부터 시작해.,3.6,"['학습', '맛집', '재정']"
F033,mistral-7b,유지현,취업 준비 어떻게?,파스타를 만들어봐.,3.6,"['여행', '시간관리', '미래']"
F034,llama-3,이정열,운동은 어떻게 시작해?,파이썬은 print로 시작해봐.,3.6,"['조언', '날씨', '요리']"
F035,gemini-1.5,김민정,취업 준비 어떻게?,계획을 세우는 게 좋아.,3.6,"['재테크', '건강', '설명']"
F036,gpt-4,박철수,효율적인 시간 관리법은?,할 일을 정리해보자.,3.6,"['요리', 'AI', '영화', '감성']"
F037,mistral-7b,홍길동,인생 조언 해줘.,긍정적으로 생각해.,3.7,"['시간관리', '자기계발', '추천']"
F038,llama-3,최수진,오늘 기분은 어때?,운동으로 스트레스를 풀어.,3.7,"['인생', '추천', '미래', '코딩']"
F039,gemini-1.5,강민호,효과적인 공부법?,운동은 하루 30분씩 해.,3.7,"['맛집', '여행', '일상', '요리']"
